Cases,medianIncome,youthUnemployment2013,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,foreignBorn,reportedCrimeVandalism,youngUnskilled,population,populationShare65plus,refugees
0,1,218334,7.3,5.5,-1.3,691,2.7,31.5,486,79.5,17.3,11.4,11.8,28074,17.9,7.0
1,0,206737,8.8,6.3,-1.1,862,3.7,39.2,653,77.7,11.9,10.4,9.0,38619,21.2,16.9
2,1,198482,13.1,8.9,1.0,654,2.7,27.7,1591,68.0,20.4,8.9,10.9,19280,21.1,46.5
3,0,192114,10.5,6.6,-0.8,831,-2.3,28.4,2041,60.7,10.2,8.8,7.4,6375,21.7,27.1
4,0,189118,11.2,8.9,-1.2,726,1.4,30.2,203,81.5,13.3,11.2,12.3,13493,24.9,20.2
5,0,186336,9.3,6.1,-3.5,1443,-5.3,26.8,9811,62.5,11.2,8.5,11.7,2980,27.3,34.5
6,0,190409,11.8,7.2,-2.3,587,-2.9,25.5,2699,78.7,8.4,7.1,9.1,6471,27.1,26.7
7,0,185343,12.2,8.2,-1.7,914,-1.4,30.3,374,63.9,12.8,9.9,8.6,25817,24.3,12.1
8,0,191829,9.3,6.1,-1.3,1199,-2.5,24.6,1358,60.9,7.0,8.9,12.7,11096,26.5,2.6
9,0,196154,11.3,7.4,-0.2,1107,-1.6,25.0,237,79.2,12.1,12.9,10.4,21582,24.6,31.7
10,1,170971,14.3,8.3,-0.4,503,-3.5,23.8,1728,68.6,15.7,8.9,12.6,9550,27.9,20.1
11,0,170559,10.3,7.2,-5.3,740,-5.0,27.1,2170,31.0,7.4,6.3,10.3,7160,27.3,37.0
12,0,168796,11.5,10.2,3.5,205,-3.2,25.1,546,39.3,11.2,4.4,8.7,2436,30.0,52.0
13,0,190597,9.3,9.1,-0.2,986,1.3,19.7,35,91.8,24.0,14.7,15.6,14801,18.6,13.5
14,0,196841,14.7,8.6,0.0,1146,1.1,37.9,463,83.9,10.1,9.8,10.9,27838,22.8,23.2
15,0,220236,8.4,4.9,-1.3,362,4.0,33.3,158,57.1,9.4,6.5,11.2,8562,19.5,10.9
16,0,184176,13.7,10.2,-1.0,1086,-0.2,27.9,1265,67.5,9.7,9.3,10.2,26141,25.0,31.3
17,0,174435,9.7,6.4,1.0,932,-2.2,32.2,1271,44.2,7.9,15.7,11.4,10619,32.0,13.0
18,4,196163,7.9,7.4,-0.3,1153,3.8,31.4,124,90.4,17.1,16.8,9.9,50023,19.5,50.9
19,6,200005,7.9,7.2,-0.6,1045,4.4,35.6,502,89.6,23.4,10.8,9.7,105995,19.1,21.0
20,4,192100,7.1,9.6,1.5,1584,9.4,33.0,953,97.4,51.6,22.1,15.3,87580,13.5,24.8
21,0,194207,11.7,7.8,-1.9,512,0.3,22.9,2011,69.0,7.6,5.6,11.4,5278,24.1,28.3
22,0,190230,20.2,11.4,2.2,705,1.1,24.0,877,83.7,14.2,8.0,9.9,12336,22.9,17.1
23,0,175040,12.7,10.7,-2.7,686,-6.4,25.0,2358,46.7,11.3,8.0,12.0,6559,27.2,53.1
24,1,193103,10.4,8.9,0.1,1040,5.4,34.3,336,98.0,38.0,15.5,13.0,17114,18.0,21.1
25,1,201458,8.5,5.9,0.5,630,0.5,38.4,922,70.5,13.6,9.5,8.6,14275,29.5,9.5
26,0,166428,12.5,7.8,-1.4,738,-1.0,22.3,1972,62.5,17.8,7.8,13.1,4740,24.8,22.9
27,0,304084,1.2,2.1,-0.4,407,4.4,73.5,597,99.9,18.7,10.0,3.3,32222,19.9,4.9
28,1,182553,10.0,8.3,-2.0,663,-3.4,22.6,1731,81.6,12.5,12.9,13.3,9500,26.0,28.2
29,0,173720,7.6,9.3,0.7,399,-5.4,20.8,8582,53.6,8.8,6.3,8.7,2757,30.2,68.7
30,0,164708,8.3,6.1,-3.1,997,-2.6,20.5,589,52.3,27.2,10.9,10.9,8426,24.9,9.8
31,0,256681,2.5,2.8,0.1,634,6.4,46.5,338,72.9,13.3,13.9,9.2,26355,16.3,4.1
32,0,197233,10.6,6.6,1.5,1039,0.9,34.8,884,77.9,12.1,9.3,7.8,16464,24.1,16.7
33,0,189004,14.9,8.0,0.7,915,-3.9,28.2,1195,70.6,15.0,7.5,11.7,8964,26.8,18.6
34,0,209678,7.3,5.4,-0.8,949,4.3,31.6,269,67.7,13.3,11.2,11.3,40656,20.6,13.8
35,2,190990,12.8,11.9,-0.4,1444,5.2,33.7,347,88.2,25.9,25.1,10.0,99729,19.5,39.2
36,0,203186,9.8,6.9,0.5,962,2.6,34.1,568,80.8,19.0,13.8,11.2,31920,18.3,15.1
37,0,187409,9.1,6.3,-1.0,710,-2.3,22.7,1230,45.5,7.6,12.3,13.6,5494,23.9,23.2
38,0,195248,16.2,9.5,1.4,1103,4.9,22.8,1610,89.4,23.6,10.4,11.7,12872,23.5,59.6
39,1,199870,8.8,6.5,-1.1,818,3.6,28.8,274,74.6,15.4,11.3,9.1,41912,22.9,9.4
40,0,192850,10.2,7.4,-0.8,857,2.0,28.5,-7,73.0,13.4,9.7,8.7,31988,21.9,32.7
41,0,204517,7.0,6.4,-1.2,884,2.7,42.0,369,82.8,10.5,11.5,7.9,56767,20.4,13.8
42,0,171335,14.8,10.7,-1.7,1146,-1.1,19.7,5417,80.2,13.4,13.1,12.8,10563,27.0,44.2
43,0,196215,13.3,8.7,1.6,708,1.5,28.6,867,79.9,14.1,9.5,10.9,20903,24.0,20.1
44,0,181549,9.9,10.4,0.2,1547,0.1,26.3,947,71.6,21.4,14.7,15.6,16156,25.8,51.3
45,0,189310,14.6,9.1,-0.6,1036,-1.1,30.1,1130,81.6,8.5,9.2,9.8,11292,22.4,12.4
46,0,177315,9.7,8.5,-1.7,475,-3.3,22.9,2130,54.5,10.0,13.1,12.3,6520,24.2,32.9
47,0,198546,6.3,5.2,-1.7,539,-0.8,31.6,1383,73.4,6.6,5.5,8.6,10023,22.6,8.9
48,0,204743,10.0,7.8,-1.2,665,-2.3,22.1,480,81.1,23.1,8.1,13.7,28713,19.8,17.8
49,0,205253,8.9,6.4,0.4,769,2.3,32.0,243,66.2,12.4,12.6,16.0,10409,21.6,11.4
50,0,206804,7.6,6.5,-1.6,946,-2.6,19.8,659,74.7,29.2,7.0,12.6,9406,18.6,19.0
51,1,183717,10.7,8.4,1.2,966,0.3,33.4,235,58.4,6.2,25.4,10.3,57161,23.3,2.5
52,0,182211,18.1,10.5,-0.1,751,-3.5,21.7,2707,71.5,9.7,7.9,14.3,8925,24.9,8.3
53,0,193474,9.7,7.4,-1.1,727,-3.6,26.3,330,51.4,7.8,11.1,9.3,5641,22.8,30.7
54,0,170718,17.3,11.0,0.6,1215,-3.5,24.0,6572,64.8,14.1,7.1,11.3,5185,28.6,56.4
55,0,214445,9.4,6.7,-0.5,971,-1.9,26.3,79,85.3,8.8,9.6,10.0,18339,23.8,10.5
56,2,200990,13.5,10.9,0.0,1107,4.0,38.1,288,92.5,15.6,11.8,9.4,97236,19.7,24.8
57,21,202708,7.2,7.1,-0.9,1285,6.6,54.3,107,98.9,28.9,34.1,6.3,533271,15.2,20.1
58,0,199583,7.8,6.2,-1.6,576,-0.4,28.0,996,61.3,10.4,8.3,10.2,13028,22.6,13.0
59,0,221363,7.4,4.3,-0.8,237,4.3,36.3,885,70.1,7.4,6.4,6.8,10975,16.9,7.0
60,0,175016,15.1,8.6,-2.1,828,-5.7,23.4,1251,64.3,12.4,6.9,9.3,12071,28.2,15.2
61,1,192650,12.9,9.0,-0.7,819,0.1,23.3,313,76.5,13.0,11.4,12.6,15267,22.1,31.6
62,1,191987,13.0,9.7,-0.5,921,3.4,26.0,1415,88.1,18.8,17.1,13.4,15524,23.5,40.0
63,5,203764,9.2,7.4,0.1,1076,4.3,40.4,122,90.7,19.3,12.4,7.2,94084,20.3,7.53
64,0,222546,8.9,6.2,-1.2,304,3.3,47.1,481,90.7,7.5,6.7,5.3,15136,18.1,2.6
65,1,215441,6.5,6.0,0.5,1224,8.0,30.2,391,93.8,29.9,23.4,14.6,80932,15.3,10.8
66,1,169131,17.4,12.1,-5.1,951,-2.8,22.7,1560,76.9,42.2,10.0,17.1,9886,24.9,14.0
67,0,185889,8.3,6.9,-0.1,855,0.3,22.6,787,61.1,10.8,7.2,13.9,13450,23.6,19.1
68,0,187695,10.3,7.1,0.3,1065,-1.6,25.8,2293,72.1,10.9,10.8,12.1,15021,24.3,21.4
69,2,198973,9.1,8.6,-0.1,1441,4.9,39.2,124,95.6,26.6,19.0,9.2,132989,18.8,15.7
70,0,191314,8.6,6.6,-0.4,712,-0.1,25.7,393,54.5,12.2,6.8,10.9,9274,22.3,17.9
71,0,192704,8.1,6.6,-1.2,693,0.0,30.4,1813,73.9,7.7,6.2,7.1,8805,24.5,5.0
72,0,190365,17.4,10.1,0.0,725,-3.9,21.9,4871,77.8,12.8,14.3,13.5,9511,25.2,40.5
73,1,222313,4.6,5.9,0.0,1319,8.9,42.7,225,99.2,35.6,19.2,10.6,102557,13.1,17.3
74,0,192216,14.8,8.7,-0.6,760,-0.2,31.9,369,69.3,9.5,12.6,9.6,36829,23.7,16.0
75,0,177333,11.1,9.0,-0.4,917,-2.9,23.3,864,81.1,17.1,11.3,14.7,13635,26.3,25.1
76,0,198302,8.4,6.4,0.2,1100,-2.6,21.8,2115,65.8,23.0,15.7,12.5,10001,22.1,29.1
77,0,170664,4.1,4.0,0.0,974,-5.1,22.2,1711,75.1,16.7,8.7,13.5,6982,28.6,5.4
78,0,175658,15.1,11.0,-0.5,623,-3.4,23.5,1534,60.3,10.1,9.9,9.9,10281,27.9,37.2
79,0,187237,12.0,8.0,0.8,1232,-0.8,38.2,1425,78.4,12.1,10.3,8.2,24509,24.9,22.9
80,0,242647,11.0,8.9,-0.8,602,6.4,47.2,353,86.3,12.4,14.2,9.3,35732,15.5,31.6
81,0,184995,5.1,3.8,-1.3,1059,0.4,31.6,357,79.2,16.6,9.3,7.8,50227,22.6,6.4
82,3,237817,13.1,9.6,0.5,751,3.9,30.7,749,88.9,15.5,12.0,10.8,19968,17.0,13.2
83,0,215121,6.4,5.5,-1.0,482,3.4,43.3,254,89.2,13.6,8.6,6.2,25084,24.8,6.0
84,0,168358,10.4,7.9,-0.1,839,-3.6,23.2,226,67.0,18.1,12.9,14.0,5718,26.1,31.7
85,1,192642,7.3,5.9,-0.6,1173,1.1,28.1,327,59.1,13.7,14.4,12.2,14917,21.4,14.0
86,1,205517,8.9,5.4,-0.3,953,4.0,39.2,531,71.3,13.1,12.0,10.4,15637,19.9,3.7
87,0,180599,13.5,8.2,-1.9,770,-4.5,31.8,2386,74.4,10.1,9.2,7.9,5066,26.5,32.1
88,5,227460,5.0,6.9,1.3,1105,7.5,42.3,0,99.8,33.3,14.1,11.0,69167,17.6,18.7
89,5,207039,7.5,6.0,0.0,800,4.5,42.3,334,89.8,19.0,12.5,6.0,130798,18.8,15.9
90,1,186964,15.8,10.8,-2.8,885,-4.5,29.5,1003,79.7,10.8,9.9,11.8,16387,26.7,12.6
91,2,197474,8.9,7.3,0.3,917,3.6,43.5,917,87.9,13.3,10.9,6.7,63887,19.3,18.1
92,0,194168,7.4,4.8,-1.9,370,-0.5,32.7,2086,76.7,7.0,5.1,7.1,6757,28.2,4.4
93,0,187859,12.6,9.4,0.3,726,1.0,34.5,628,82.6,12.9,13.6,8.4,31272,24.3,20.4
94,0,193030,11.2,8.7,-1.1,875,-0.5,28.8,677,91.3,15.3,16.2,11.4,29728,24.4,19.9
95,2,197159,12.0,8.9,0.7,740,1.8,44.2,355,80.8,14.0,10.4,7.1,63912,20.9,19.9
96,3,199197,8.2,7.6,-0.5,776,4.5,46.7,373,89.3,13.4,11.8,5.6,87786,19.6,10.8
97,0,188125,14.6,10.6,-0.1,1436,2.2,29.1,226,82.0,18.8,20.6,11.7,32930,22.2,40.4
98,0,195273,13.3,8.2,-0.9,542,1.2,31.8,1179,72.9,7.4,8.2,8.7,11810,22.2,5.1
99,0,192820,12.0,7.1,0.2,408,-0.8,30.4,1072,65.8,8.1,8.4,7.8,9802,24.4,36.1
100,0,228488,5.5,4.0,-2.1,953,0.4,29.8,527,90.4,10.8,11.2,11.2,23196,20.2,8.1
101,1,184025,10.7,8.0,0.2,993,2.3,23.5,780,73.7,17.1,15.7,12.1,16715,21.7,0.9
102,0,250830,4.9,3.5,0.0,379,9.3,48.3,597,66.3,12.8,7.0,8.2,15580,13.2,7.7
103,0,177344,14.2,9.5,-2.2,970,-5.3,27.9,1152,65.2,10.3,10.6,11.3,18450,27.9,20.3
104,1,193898,13.0,9.9,1.5,1120,3.9,37.5,170,82.5,19.8,12.9,8.7,81009,20.9,34.0
105,0,180847,13.5,10.3,-0.1,869,0.0,30.1,753,81.7,12.2,12.2,11.9,23949,24.9,20.9
106,0,198675,6.9,5.5,-2.8,512,2.2,34.7,1633,50.4,7.9,5.1,7.8,14643,20.2,16.8
107,1,208187,10.6,7.2,-1.6,1115,3.7,28.6,802,85.4,13.1,12.7,9.8,20904,18.7,23.5
108,0,241204,4.9,3.7,-1.3,433,6.5,45.8,423,79.3,8.2,9.8,6.6,77390,18.9,1.9
109,0,197145,9.9,8.8,-0.4,636,0.1,26.5,335,76.0,15.5,12.6,13.4,8175,23.5,23.6
110,0,224289,4.0,3.5,-1.2,568,4.6,38.3,312,68.9,10.2,9.8,8.9,42109,19.9,4.3
111,0,233656,6.9,5.0,0.3,507,4.8,43.3,255,90.5,10.4,10.9,6.9,29600,18.0,3.8
112,2,191269,12.9,9.0,-2.1,1169,2.0,26.3,542,82.9,20.1,9.8,11.2,25237,22.8,31.8
113,0,194727,9.0,7.1,-0.5,642,1.1,28.3,459,65.6,12.6,10.7,10.3,23517,23.7,10.8
114,3,182892,14.3,11.7,0.4,1251,5.4,30.4,110,92.7,32.2,16.8,12.1,43073,19.7,20.8
115,0,185176,17.9,9.7,1.6,986,-4.9,22.1,3052,75.7,14.4,9.6,7.7,5580,27.9,16.8
116,0,201743,8.4,5.8,-1.2,329,2.5,29.0,0,42.2,4.9,6.6,11.1,7289,21.2,0.3
117,0,196111,7.0,5.5,-1.0,561,-0.9,36.4,1302,75.7,8.2,7.2,7.8,15157,26.4,14.8
118,0,238430,4.3,3.4,-1.2,511,3.2,44.4,279,88.5,11.2,13.8,7.6,39319,17.6,5.3
119,0,187284,18.1,12.2,1.2,844,-0.3,26.7,3312,87.3,20.3,13.5,14.9,8059,23.6,69.9
120,0,262232,1.3,3.3,0.4,480,4.8,62.6,392,98.3,19.3,9.3,5.3,45178,20.1,8.7
121,0,203485,11.0,7.4,-0.3,599,1.3,34.9,624,75.9,10.4,11.4,7.7,38414,21.7,10.8
122,0,197610,10.0,7.1,-1.2,857,0.0,23.5,219,62.3,15.6,9.0,15.0,12829,19.7,11.6
123,0,193398,13.9,9.8,-0.3,854,0.3,26.8,332,72.8,14.8,9.4,11.7,23176,23.3,36.0
124,11,203774,6.1,6.2,-0.8,747,5.9,52.7,330,89.4,18.4,14.8,5.1,150202,17.2,24.0
125,1,199056,9.2,6.8,-0.8,733,-0.6,29.3,885,71.2,18.7,9.3,7.3,27277,22.6,12.7
126,0,178875,16.8,10.3,-1.6,433,-1.1,23.2,1156,58.5,10.0,11.0,11.0,18931,25.6,23.9
127,0,167961,10.5,8.8,-1.1,1251,-5.0,21.9,4487,72.1,16.6,10.7,16.0,4875,28.3,9.4
128,0,261094,2.9,3.0,-0.3,325,10.0,63.5,330,95.7,9.7,6.7,3.7,22496,20.6,3.6
129,1,192968,9.3,7.2,0.2,1042,0.7,30.2,1142,88.1,13.9,9.1,9.9,25712,24.7,37.6
130,1,206110,9.2,7.4,-1.9,894,2.7,45.4,494,88.9,11.2,11.0,7.5,75383,19.2,13.0
131,0,202153,2.7,4.1,-0.2,772,6.5,71.3,312,94.7,22.9,10.7,3.0,114291,15.5,8.5
132,0,191284,10.0,7.9,-1.5,1100,-1.7,30.0,717,72.5,9.5,10.0,7.8,12270,24.0,21.1
133,0,192300,6.9,5.6,-1.0,814,-2.0,32.3,252,74.6,12.9,13.8,9.9,14369,26.9,21.4
134,6,178772,10.2,10.1,1.3,1437,9.2,52.7,980,99.5,39.1,21.0,7.0,312994,15.4,25.3
135,0,184210,5.4,4.9,-1.0,1223,-3.1,23.3,1001,73.0,9.4,11.4,9.4,10061,24.9,19.2
136,0,188912,12.9,6.3,-1.4,285,-6.4,25.4,1332,62.6,8.3,8.0,9.8,3155,25.2,31.1
137,0,190391,12.8,9.0,-0.7,842,0.2,30.1,684,76.5,11.7,11.9,8.4,23870,25.2,15.0
138,1,197883,7.9,5.6,-0.6,714,-0.2,28.6,177,65.0,12.6,9.4,11.4,33753,21.5,11.2
139,0,180145,10.8,8.7,1.8,725,-0.9,21.4,703,76.2,21.0,8.7,12.0,9515,25.8,29.1
140,0,166192,10.2,8.7,-1.8,607,-5.8,24.6,1376,55.6,13.5,14.5,12.1,8892,27.5,22.1
141,0,199966,10.7,7.2,-2.1,657,2.6,29.1,1083,79.6,9.9,16.8,9.8,26313,21.3,11.5
142,0,193409,10.3,7.4,-0.8,640,-0.8,32.2,823,84.6,7.4,7.1,12.0,19998,24.7,4.0
143,0,189606,13.5,9.8,-0.3,834,0.6,28.8,694,83.9,14.3,11.7,12.2,42187,21.7,30.7
